sample_id,label,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,from_project,type_class,type_innerclass,type_interface
5575053,1,0,6,1,0,9,0,0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,10,1,0,1,1,0,0
8537138,1,3,6,2,0,7,0,0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,0,0,0,27,5,0,0,0,0,0,0,5,0,4,0,0,0,0,21,1,0,1,1,0,0
4468635,1,2,2,1,0,0,0,0,2,0,2,0,0,0,2,0,0,0,24,0,24,0,0,0,24,0,0,44,1,0,0,0,0,2,0,24,0,24,0,0,0,0,52,9,0,1,0,1,0
6785826,1,8,129,2,74,7995,0,0,127,0,127,0,0,0,127,0,0,0,3,2,2,0,0,1,2,0,2,464,126,2,0,0,0,114,0,5,0,4,1,1,0,0,90,9,0,1,0,1,0
6480563,1,0,27,1,2,299,0,0,26,0,26,0,0,0,26,0,0,0,13,0,0,13,0,0,0,0,0,96,14,0,1,0,0,0,9,25,1,13,1,0,0,0,91,1,0,1,1,0,0
5947006,1,5,2,1,0,0,,,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,9,1,0,1,0,0,3,0,1,0,1,1,0,0,0,60,1,0,1,1,0,0
7330770,1,7,17,1,11,26,0,0,13,0,13,0,0,0,13,0,0,0,5,0,0,0,5,0,0,0,2,67,5,1,3,0,0,7,1,6,0,6,2,0,0,0,46,1,0,1,1,0,0
3797814,1,2,20,1,3,0,0,0,10,0,9,0,0,1,10,0,0,0,5,0,3,2,0,0,0,0,3,90,11,0,4,1,5,13,21,23,4,9,2,0,0,0,50,9,0,1,0,1,0
7276572,1,1,8,1,0,20,0,0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,0,0,4,0,4,0,0,0,0,11,1,0,1,1,0,0
6165395,1,1,6,1,0,3,0,0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,22,2,0,0,0,0,0,0,4,0,2,0,0,0,0,19,1,0,1,1,0,0
7457996,1,3,3,1,1,1,0,0,3,0,2,0,1,0,3,0,0,0,3,0,0,3,0,0,0,0,1,14,1,0,0,0,0,1,0,2,0,3,0,0,0,0,8,1,0,1,1,0,0
7324624,1,4,21,1,12,64,0,0,17,0,17,0,0,0,17,0,0,0,7,0,0,0,7,0,0,0,6,86,7,2,2,0,0,9,2,9,0,9,2,0,0,0,46,1,0,1,1,0,0
7369780,1,2,13,1,1,66,0,0,13,0,13,0,0,0,13,0,0,0,7,0,0,7,0,0,1,0,0,92,7,0,0,0,0,0,1,9,0,7,0,0,1,0,67,9,0,1,0,1,0
6634791,1,2,4,1,0,0,0,0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,22,0,0,1,1,0,0
8441008,1,11,59,1,8,1480,0,0,56,0,56,0,0,0,56,0,0,0,26,0,0,26,0,0,0,0,2,207,31,0,1,1,0,37,5,39,2,26,1,0,0,0,283,1,0,1,1,0,0
5901667,1,1,7,1,0,21,0,0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,26,6,0,0,0,0,0,1,2,0,2,0,0,0,0,23,17,0,1,1,0,0
5394068,1,1,14,1,0,91,0,0,14,0,0,0,0,14,14,0,0,0,32,0,0,0,0,32,0,0,0,48,0,0,0,0,0,32,0,32,1,32,0,0,0,0,86,1,0,1,0,0,1
7307669,1,1,2,1,0,0,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,1,0,2,0,1,0,0,0,0,12,1,0,1,1,0,0
5414612,1,15,23,1,5,162,0,0,20,0,20,0,0,0,20,0,0,0,9,0,0,0,9,0,0,0,0,80,13,0,3,0,0,18,0,11,0,9,1,0,0,0,113,1,0,1,1,0,0
4611132,1,8,12,3,4,43,0,0,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,1,0,1,41,4,0,1,0,0,1,1,10,0,1,1,0,0,0,48,25,0,1,0,1,0
5681626,1,3,23,2,7,15,0,0,14,0,14,0,0,0,14,0,0,0,6,0,0,6,0,0,0,0,0,104,14,0,6,0,2,7,15,33,0,14,2,0,0,0,82,1,0,1,1,0,0
4451710,1,4,3,1,3,0,0,0,3,0,3,0,0,0,3,0,0,0,4,0,3,1,0,0,0,0,0,21,1,0,0,0,0,3,0,8,0,4,0,0,0,0,8,9,0,1,0,1,0
9012542,1,3,1,1,0,0,,,1,0,1,0,0,0,1,0,0,0,7,0,7,0,0,0,7,0,0,18,0,0,0,0,0,0,0,7,0,7,0,0,0,0,18,10,0,1,0,1,0
3850165,1,1,4,1,0,0,0,0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,17,3,0,0,0,0,1,0,2,1,2,0,0,0,0,11,1,0,1,1,0,0
7160761,1,1,5,1,1,4,0,0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,1,23,4,0,0,0,0,1,0,3,0,3,0,0,1,0,21,1,0,1,1,0,0
9116510,1,2,3,2,0,0,0,0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,13,2,0,0,0,0,0,0,1,2,1,0,0,0,0,11,1,0,1,0,1,0
4413114,1,1,4,1,0,2,0,0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,1,0,2,0,2,0,0,0,0,9,1,0,1,1,0,0
7961199,1,3,5,2,1,4,0,0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,18,3,0,0,0,0,1,0,1,0,1,0,0,0,0,14,9,0,1,0,1,0
8279744,1,6,9,1,7,0,0,0,8,0,7,1,0,0,7,0,2,0,4,0,0,4,0,0,4,0,6,37,8,0,0,0,0,0,0,5,0,5,1,0,0,0,22,9,0,1,0,1,0
9171873,1,0,4,1,0,2,0,0,4,0,4,0,0,0,4,1,0,0,2,0,0,0,2,0,0,0,0,15,2,0,0,0,0,0,0,2,0,2,0,0,0,0,11,1025,0,1,0,1,0
7155743,1,0,2,1,0,0,0,0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0,1,1,0,0
4556934,1,1,8,1,0,2,0,0,8,1,7,1,0,0,7,0,0,0,6,0,0,6,0,0,6,0,0,37,7,0,0,0,0,0,0,6,0,6,0,0,0,0,16,1,0,1,1,0,0
4289354,1,3,4,1,0,0,0,0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,14,1,0,0,0,0,2,0,2,0,1,0,0,0,0,5,1,0,1,1,0,0
6019048,1,1,2,1,0,0,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,9,0,1,0,1,0
7113247,1,0,4,1,1,0,0,0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,15,2,0,1,0,0,2,0,1,1,1,1,0,0,0,30,25,0,1,0,1,0
6245494,1,0,16,1,2,19,0,0,10,0,10,0,0,0,10,0,10,0,4,0,0,4,0,0,0,0,3,42,6,0,4,0,0,2,3,5,0,4,1,0,0,0,93,1,0,1,1,0,0
8912820,1,2,20,1,22,4,0,0,9,0,9,0,0,0,9,0,0,0,3,0,0,0,0,3,0,0,0,82,5,3,3,0,0,15,4,11,5,8,4,0,1,0,59,1,0,1,1,0,0
8065474,1,8,10,2,4,45,0,0,10,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,10,0,0,42,10,0,0,0,0,1,9,10,0,10,0,0,0,0,28,1,0,1,0,1,0
5281568,1,9,14,1,15,59,0,0,14,0,14,0,0,0,14,0,0,0,7,0,0,7,0,0,0,0,1,63,8,0,0,0,0,7,1,6,0,8,0,0,0,0,29,1,0,1,1,0,0
5200864,1,3,17,1,3,118,0,0,17,0,17,0,0,0,17,0,0,0,9,0,0,9,0,0,3,0,0,64,10,0,0,0,0,2,0,9,1,9,0,0,0,0,78,1,0,1,1,0,0
7036119,1,1,8,4,1,0,0,0,7,0,7,0,0,0,7,0,0,0,1,0,0,0,1,0,1,0,0,27,3,0,1,0,4,2,1,4,1,1,0,0,0,0,21,1,0,1,1,0,0
7548776,1,1,4,4,0,0,0,0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,20,3,0,0,0,0,1,0,3,0,3,0,0,0,0,25,1025,0,1,1,0,0
7129689,1,3,4,2,0,0,0,0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,13,2,0,1,0,0,0,0,1,0,1,0,0,0,0,36,1,0,1,1,0,0
8736543,1,4,9,1,10,0,0,0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,2,0,0,33,8,0,0,0,0,3,0,3,0,3,1,0,0,0,34,1,0,1,1,0,0
3977344,1,2,4,1,0,0,0,0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,14,1,0,0,0,0,0,0,2,0,1,0,0,0,0,14,1,0,1,1,0,0
3812473,1,1,3,1,1,0,0.6666667,1,3,0,3,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0,1,0,1,0
4431383,1,3,2,1,0,0,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0,1,1,0,0
5354848,1,9,17,1,0,91,0,0,15,0,15,0,0,0,15,0,0,0,8,0,0,0,8,0,0,0,0,63,9,0,2,0,0,11,0,8,0,8,1,0,0,0,102,1,0,1,1,0,0
5991563,1,16,32,1,44,249,0,0,27,0,24,3,0,0,24,0,0,0,9,0,0,9,0,0,9,0,10,124,29,0,4,1,0,11,2,12,1,14,1,0,0,2,74,17,0,1,1,0,0
5447313,1,0,14,1,0,69,0,0,14,0,14,0,0,0,14,0,0,0,6,0,0,6,0,0,0,0,0,50,7,0,0,0,0,0,2,8,1,6,0,0,0,0,59,1,0,1,1,0,0
7243958,1,19,54,4,22,64,0,0,20,1,19,0,1,0,20,0,0,0,7,0,0,7,0,0,0,0,18,192,24,0,15,0,2,27,15,17,9,12,1,0,3,0,155,1,0,1,1,0,0
7294947,1,3,9,1,2,6,0,0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,36,8,0,1,0,0,1,1,4,0,4,1,0,0,0,20,10,0,1,0,1,0
6257015,1,0,2,1,0,0,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,1,0,2,0,1,0,0,0,0,13,9,0,1,0,1,0
8400746,1,1,30,1,0,405,0,0,30,0,30,0,0,0,30,0,0,0,15,0,0,15,0,0,0,0,0,130,15,0,0,0,0,0,0,15,0,15,0,0,1,0,30,1,0,1,0,1,0
6483071,1,26,121,1,90,386,0,0,41,3,25,16,0,0,25,0,0,0,23,0,0,23,0,0,3,0,3,509,21,16,18,9,2,68,32,110,16,74,6,0,0,0,253,1,0,1,1,0,0
7323687,1,6,3,3,1,0,0,0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,1,16,2,0,0,0,0,1,0,2,0,2,0,0,0,0,35,1,0,1,1,0,0
8347642,1,2,15,1,3,0,0,0,9,0,9,0,0,0,9,0,0,0,11,5,5,6,0,0,5,0,0,77,13,0,1,0,0,0,16,24,0,12,3,0,0,0,103,1,0,1,1,0,0
7351641,1,6,9,2,4,24,0,0,9,0,8,0,1,0,9,0,0,0,3,0,0,3,0,0,0,0,1,35,4,0,0,0,0,1,0,5,0,4,0,0,0,0,38,1,0,1,1,0,0
6214208,1,4,7,1,0,9,0,0,7,0,6,1,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,71,6,0,0,0,0,0,0,6,0,6,0,0,1,0,37,1,0,1,1,0,0
7501187,1,0,5,1,0,4,0,0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,2,0,0,22,3,0,0,0,0,0,0,3,0,3,0,0,0,0,32,1,0,1,1,0,0
3757097,1,8,27,3,6,258,0.07,0.07,25,0,24,0,1,0,25,0,0,0,7,0,0,3,4,0,0,0,0,90,8,0,1,0,0,0,0,11,0,7,1,0,0,0,42,1,0,1,1,0,0
6261774,1,1,4,1,0,2,0,0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,19,4,0,0,0,0,0,0,3,0,3,0,0,0,0,65,1,0,1,1,0,0
3700666,1,19,177,1,77,2034,0.206964,0.5809859,80,2,71,8,1,0,72,0,2,0,10,0,0,10,0,0,0,0,21,739,91,0,65,1,54,4,71,111,0,25,3,0,0,0,108,25,0,1,0,1,0
5767556,1,12,6,3,1,9,0,0,6,0,6,0,0,0,6,0,0,0,5,2,1,4,0,0,2,0,0,27,3,0,0,0,0,1,1,5,0,5,0,0,0,0,32,1,0,1,1,0,0
7301167,1,3,4,1,0,0,0,0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,3,0,3,0,3,0,0,0,0,14,1,0,1,1,0,0
4975591,1,2,9,1,3,0,0,0,6,0,6,0,0,0,6,0,0,0,3,1,1,2,0,0,3,0,3,27,7,0,3,0,0,3,0,4,2,4,1,0,0,0,21,1,0,1,1,0,0
8387845,1,4,6,1,0,9,0,0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,1,0,3,0,3,0,0,0,0,16,9,0,1,0,1,0
7247219,1,0,8,1,1,8,0,0,8,0,8,0,0,0,8,0,0,0,4,0,0,1,3,0,0,0,0,33,5,0,0,0,1,1,1,6,1,4,0,0,0,0,35,1,0,1,1,0,0
6890147,1,0,1,1,0,0,,,1,0,1,0,0,0,1,0,0,0,3,1,2,0,0,1,1,0,0,9,0,0,0,0,0,0,1,3,0,3,0,0,0,0,48,1,0,1,1,0,0
7240692,1,13,26,1,1,129,0,0,18,3,11,0,7,0,18,0,0,1,12,1,0,11,0,1,0,0,1,94,11,2,4,0,0,4,0,13,0,12,2,0,0,0,98,1,0,1,1,0,0
6009432,1,1,11,3,0,33,0,0,11,0,11,0,0,0,11,0,0,0,3,1,0,3,0,0,1,0,0,41,2,0,0,0,0,0,1,6,0,3,0,0,0,0,29,1,0,1,1,0,0
9260596,1,1,3,2,0,0,0.6666667,1,3,0,0,0,0,3,3,0,0,0,2,0,0,0,0,2,2,0,0,15,2,0,0,0,0,0,0,2,0,2,0,0,0,0,9,8,0,0,1,0,0
9114822,1,15,65,2,46,177,0,0,30,0,27,0,3,0,30,0,0,0,11,0,0,3,7,1,0,0,7,197,11,0,24,0,1,1,15,32,2,15,3,3,0,0,76,1,0,1,1,0,0
3791832,1,19,64,4,26,499,0,0,54,0,52,2,0,0,52,0,0,0,9,0,0,6,0,3,0,0,2,242,51,1,4,1,2,8,8,21,5,13,2,0,1,0,87,1,0,1,1,0,0
4246628,1,2,9,3,5,28,0,0,9,0,9,0,0,0,9,0,0,0,9,5,4,5,0,0,5,0,0,43,5,0,0,0,0,4,4,14,3,10,0,0,0,0,85,1,0,1,1,0,0
6541523,1,9,9,3,7,18,0,0,8,0,8,0,0,0,8,0,0,0,4,0,0,0,4,0,0,0,0,31,4,0,1,0,0,6,0,6,0,4,1,0,0,0,37,1,0,1,1,0,0
5946774,1,3,4,2,0,2,0,0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,17,2,0,0,0,0,0,0,2,0,2,0,0,1,0,10,1,0,1,1,0,0
8044367,1,7,8,2,4,28,0,0,8,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,8,0,0,34,8,0,0,0,0,1,7,8,0,8,0,0,0,0,23,1,0,1,0,1,0
3920625,1,2,8,1,0,20,0,0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,0,0,4,0,4,0,0,0,0,13,1,0,1,1,0,0
5515839,1,0,4,1,0,2,0,0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,20,1,0,1,1,0,0
7463516,1,3,3,1,1,1,0,0,3,0,2,0,1,0,3,0,0,0,3,0,0,3,0,0,0,0,1,14,1,0,0,0,0,1,0,2,0,3,0,0,0,0,8,1,0,1,1,0,0
6207228,1,7,12,1,9,39,0,0,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,2,0,2,46,5,0,1,0,0,0,2,11,1,8,1,0,0,0,68,1,0,1,1,0,0
5473710,1,6,5,1,0,10,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,0,1
5097474,1,1,15,1,6,0,0,0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,33,9,0,11,0,2,0,4,7,4,5,1,0,0,0,26,1,0,1,1,0,0
5948040,1,1,6,1,0,3,0,0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,22,2,0,0,0,0,0,0,4,0,2,0,0,0,0,8,1,0,1,1,0,0
5775703,1,10,16,1,3,22,0,0,13,0,13,0,0,0,13,0,0,0,7,1,0,7,0,0,2,0,0,58,11,0,3,0,0,6,1,8,0,8,1,0,0,0,41,1,0,1,1,0,0
5627187,1,4,8,3,7,1,0,0,7,0,6,1,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,30,2,0,0,0,0,3,0,6,1,2,1,0,0,0,30,17,0,1,1,0,0
7625447,1,2,6,1,0,9,0,0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,26,6,0,0,0,0,0,0,3,0,3,0,0,0,0,21,1,0,1,1,0,0
3874200,1,2,2,1,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,18,1,0,1,0,0,1
3974797,1,2,12,1,4,0,0,0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,31,8,0,6,0,1,0,1,3,0,2,1,0,0,0,36,1,0,1,1,0,0
4558704,1,9,172,2,161,837,0,0,43,0,37,5,0,1,38,0,0,0,11,0,0,11,0,0,0,0,16,387,35,1,27,0,3,11,4,14,7,14,2,0,0,0,354,17,0,1,1,0,0
8290693,1,6,16,1,3,37,0,0,15,0,15,0,0,0,15,0,0,0,10,0,0,10,0,0,10,0,0,70,13,0,0,0,0,0,6,12,1,11,1,0,0,0,41,1,0,1,1,0,0
7147207,1,1,6,1,0,9,0,0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,11,1,0,1,1,0,0
8169113,1,2,11,1,7,14,0.30555555,0.41666666,9,0,9,0,0,0,9,1,0,0,2,0,0,0,2,0,0,0,0,33,6,0,1,0,0,4,0,4,1,2,1,0,0,0,39,1025,0,1,1,0,0
3763847,1,6,10,1,0,29,0.17777778,0.8,10,0,10,0,0,0,10,0,0,0,8,0,0,0,8,0,0,0,0,40,9,0,0,0,0,27,0,0,2,8,0,0,0,0,36,1,0,1,1,0,0
7725645,1,1,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,14,1,0,1,1,0,0
3763661,1,3,21,2,1,116,0.12857144,0.73333335,21,0,20,0,1,0,21,0,0,0,10,0,0,10,0,0,0,0,0,84,20,0,0,0,0,11,0,10,2,10,0,0,0,0,161,1,0,1,1,0,0
6538820,1,2,6,1,0,0,0,0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,25,4,0,0,0,0,3,0,3,1,3,0,0,0,0,43,1,0,1,1,0,0
7168076,1,0,8,1,0,20,0,0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,0,0,4,0,4,0,0,0,0,18,1,0,1,1,0,0
8403578,1,3,38,1,3,651,0,0,38,0,38,0,0,0,38,0,0,0,19,1,0,19,0,0,1,0,0,134,19,0,0,0,0,6,1,19,0,19,0,0,0,0,56,1,0,1,1,0,0
6066851,1,1,2,1,0,0,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,1,0,1,0
9136234,1,1,9,1,2,28,0,0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,0,0,0,34,4,0,0,0,0,4,0,8,0,4,0,0,0,0,36,1,0,1,1,0,0
6293765,1,1,34,1,0,561,0,0,34,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,1,0,1,0,0,1
7027539,1,6,38,2,17,75,0,0,15,0,15,0,0,0,15,0,0,0,3,0,0,3,0,0,0,0,0,92,22,1,24,1,6,10,5,12,7,7,1,0,0,0,108,1,0,1,1,0,0
6330576,1,4,5,2,0,6,0,0,5,0,5,0,0,0,5,0,0,0,3,1,0,3,0,0,1,0,0,20,2,0,0,0,0,0,1,3,0,3,0,0,0,0,21,1,0,1,1,0,0
7959083,1,9,65,1,37,420,0,0,37,1,31,2,4,0,35,0,12,0,4,0,0,4,0,0,0,0,13,215,12,0,14,1,0,11,10,19,1,12,3,0,1,0,223,1,0,1,1,0,0
8172392,1,4,9,3,6,0,0.85714287,1,7,0,7,0,0,0,7,0,0,0,3,0,0,0,3,0,0,0,0,48,3,0,1,0,0,9,0,3,0,3,1,0,0,0,54,1,0,1,1,0,0
6166594,1,7,8,2,7,0,0,0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,2,0,0,29,7,0,0,0,0,0,0,2,0,2,0,0,0,0,29,1,0,1,1,0,0
6255385,1,3,4,1,2,2,0,0,4,0,4,0,0,0,4,0,0,0,3,1,0,3,0,0,1,0,2,17,2,0,0,0,0,0,1,3,0,3,0,0,0,0,21,1,0,1,1,0,0
8142421,1,6,16,2,14,22,0,0,9,0,7,0,2,0,9,0,0,0,2,1,0,0,2,0,1,0,0,56,10,0,2,0,0,1,0,5,0,4,1,0,0,0,62,1,0,1,1,0,0
4130065,1,9,6,1,8,4,0,0,5,0,5,0,0,0,5,0,0,0,4,0,2,0,2,0,4,0,7,32,4,0,1,0,0,2,0,5,0,5,1,0,0,0,37,4,0,1,0,1,0
8514954,1,20,16,3,19,58,0,0,12,1,12,0,0,0,12,0,0,0,6,2,1,5,0,0,2,0,1,63,12,0,3,1,2,12,1,5,2,9,2,0,0,0,70,1,1,1,1,0,0
3858066,1,32,41,1,6,545,0,0,35,0,35,0,0,0,35,0,0,0,20,0,0,20,0,0,0,0,2,142,23,0,4,0,0,42,4,24,5,22,1,0,0,0,89,1,0,1,1,0,0
5111458,1,24,63,2,94,54,,,13,0,1,12,0,0,1,0,0,0,44,2,0,40,4,0,2,0,7,285,16,5,11,5,9,136,9,53,15,80,4,0,0,0,371,1,6,1,1,0,0
8187132,1,4,10,2,2,25,0.22222222,0.22222222,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,1,0,0,37,6,0,0,0,0,0,0,6,0,4,0,0,0,0,20,1,0,1,1,0,0
9298816,1,4,7,2,3,10,0,0,5,1,2,3,0,0,2,0,0,0,2,1,0,2,0,0,2,0,1,28,5,0,0,0,0,0,1,2,0,2,1,0,0,0,24,26,0,0,1,0,0
7481501,1,3,3,1,1,1,0,0,3,0,2,0,1,0,3,0,0,0,3,0,0,3,0,0,0,0,1,14,1,0,0,0,0,1,0,2,0,3,0,0,0,0,8,1,0,1,1,0,0
5055368,1,3,1,1,0,0,,,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,9,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,8,0,1,0,1,0
4229996,1,5,14,1,6,25,0,0,10,0,9,0,1,0,10,0,0,0,3,0,0,3,0,0,1,0,6,86,7,0,4,0,0,0,3,5,0,5,1,0,2,0,156,1025,0,1,1,0,0
